"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1dnytEWSh6IR3NaamkWmDi","Boulevard of Broken Dreams","spotify:artist:5mdiygu3OgrNzMREgzdy4j, spotify:artist:0H9lbVkJq2aj6SbqJKBVy5","2 Shadows, Righteous Vendetta","spotify:album:5tqcvmNI728SzHILxHVDrc","Bring the Cold Inside","spotify:artist:5mdiygu3OgrNzMREgzdy4j","2 Shadows","2022-04-22","https://i.scdn.co/image/ab67616d0000b273d6f9a5790516a4904681abd7","1","5","238877","https://p.scdn.co/mp3-preview/5ef4977a358ae5f484d518e18c0cbc9dc5d7a51e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","TCAGC2238875","spotify:user:sebastianelisapfeifer","2022-11-13T21:17:08Z"
"spotify:track:0Hxty2K8F2DrrCXQyQVpBo","You Spin Me Round (Like A Record)","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","spotify:album:70qlX6W0tE04QAwKQuv1db","Felons and Revolutionaries","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","1999-09-06","https://i.scdn.co/image/ab67616d0000b273b96b08f972a3f1e925a69fed","1","14","163666","https://p.scdn.co/mp3-preview/af8a2613f94a0ad92a2b1a5e6185dcf5f6960772?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM10008762","spotify:user:sebastianelisapfeifer","2022-11-14T21:33:36Z"
"spotify:track:7D7ZHNPTheWPTyaJ87d4th","Temple of Love","spotify:artist:5NhSUk5Sygly90DDO78eLK","Mr. Irish Bastard","spotify:album:0IjvWYXW36CRRoRifMdZql","St. Mary's School Of Drinking","spotify:artist:5NhSUk5Sygly90DDO78eLK","Mr. Irish Bastard","2006-12-01","https://i.scdn.co/image/ab67616d0000b273e373821589889c3c2f5a526a","1","5","240546","","false","0","DEAF75103671","spotify:user:sebastianelisapfeifer","2022-11-14T21:35:20Z"
"spotify:track:6XXxkAAmnrc1LI0HMP4tOj","Jolene (Live Under Blackpool Lights)","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:4uptroCN0VrQnc4jB0V8BX","Jolene (Live Under Blackpool Lights)","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2004-11-15","https://i.scdn.co/image/ab67616d0000b273180678aee4f77ee5df6744e3","1","1","198880","","false","0","GBBKS0462496","spotify:user:sebastianelisapfeifer","2022-11-14T22:00:50Z"
"spotify:track:2OW3b4EGUNuTR6wONHmyWr","Working Class Hero","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:5yIXVMM70ay1mQ5kCWpidF","Under Cover","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","2005-11-01","https://i.scdn.co/image/ab67616d0000b27380a22824112f3e4f7404a9b8","1","12","202146","https://p.scdn.co/mp3-preview/7cbdcaf0a698e70b37d494db7d8730803607b354?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","USSM10415115","spotify:user:sebastianelisapfeifer","2022-11-14T22:01:59Z"
"spotify:track:1VylyWcBUNYGZex80qCAdi","Working Class Hero","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:2Bk5ScJpIEXY9QxSsaPZfp","Working Class Hero","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2007-05-01","https://i.scdn.co/image/ab67616d0000b273fa24839d156391c88bbf4c04","1","1","263733","https://p.scdn.co/mp3-preview/443072cf80aa35cbb2a7f321aad99d4afc3791da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBLLZ0600015","spotify:user:sebastianelisapfeifer","2022-11-14T22:02:07Z"
"spotify:track:0W43LnKXzRivi0WPaoBLVO","Rasputin","spotify:artist:0ykT1si9XRFPmEvWOnf4YI","Turisas","spotify:album:5nUmL2EDOT3uoZQJOC2kYC","Rasputin","spotify:artist:0ykT1si9XRFPmEvWOnf4YI","Turisas","2007-08-31","https://i.scdn.co/image/ab67616d0000b273f0c12c46fce54b0da4c7e802","1","1","233520","https://p.scdn.co/mp3-preview/805d9a4e0a42a74016bcde8f65fb19778949327e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBDHC0707201","spotify:user:sebastianelisapfeifer","2022-11-24T17:30:49Z"
"spotify:track:1Bpa3yoBAqpcc8mRC9jacn","Astronomy","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:0vshXZYhBkbIoqxyC2fXcF","Garage Inc.","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1998-01-01","https://i.scdn.co/image/ab67616d0000b27375e6375e11550746705a9645","1","8","397840","https://p.scdn.co/mp3-preview/25efc024e33523f5fb54159c7e09cded056e6020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAMC9800029","spotify:user:sebastianelisapfeifer","2022-12-27T18:09:17Z"
"spotify:track:5qW4iSYBSqE8ClZWWdflRK","Holy Diver","spotify:artist:59JYc4smLqWbRz93IzN5lw","Liliac","spotify:album:1Bksz7chF2qrLQdCyN3AaN","Holy Diver","spotify:artist:59JYc4smLqWbRz93IzN5lw","Liliac","2019-09-07","https://i.scdn.co/image/ab67616d0000b2737e7621fcb6661e9d9cb95e8f","1","1","265406","https://p.scdn.co/mp3-preview/d0f7565c5119a047cda54ac5ff83d6ff09db7137?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CAHQJ1917281","spotify:user:sebastianelisapfeifer","2023-01-23T06:21:41Z"
"spotify:track:2zSudlr6kCVjgxaYtP4vuc","Crazy Train","spotify:artist:59JYc4smLqWbRz93IzN5lw","Liliac","spotify:album:39iT2l7FALnIKC24ffG93F","Crazy Train","spotify:artist:59JYc4smLqWbRz93IzN5lw","Liliac","2018-08-14","https://i.scdn.co/image/ab67616d0000b2731925ba82b9c03c571d721a49","1","1","290917","https://p.scdn.co/mp3-preview/3c6deda8e5515e11bdbed59a660b1da9346c2574?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","CAHQJ1819028","spotify:user:sebastianelisapfeifer","2023-01-23T06:21:51Z"
