"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:5E4MtBoFdkuNTEqYC23TSH","I Want to Conquer the World","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","spotify:album:5hosHbfLPbpvCUSS29fFfF","No Control (Re-Issue)","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","1989","https://i.scdn.co/image/ab67616d0000b2736bc0c93f9055968f11f12699","1","6","137773","https://p.scdn.co/mp3-preview/35e576f629be3312817f74f692a57d760a21767f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USEP40403306","spotify:user:sebastianelisapfeifer","2021-07-18T16:59:31Z"
"spotify:track:3qriuhIxVQXmdHRIIzP4Fe","American Jesus","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","spotify:album:6AXQoe0HIyZJ4TLlAmwG6d","Recipe For Hate","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","1993","https://i.scdn.co/image/ab67616d0000b273b073abd7052ca169fd3e6ca8","1","3","197533","https://p.scdn.co/mp3-preview/5bbaef4a932900907f05f78a84d4bc92a0937f6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USEP40303603","spotify:user:sebastianelisapfeifer","2021-07-18T16:59:42Z"
"spotify:track:6WNAhQVBolZgVfyxWd0z7I","Johnny, I Hardly Knew Ya","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:6jGmS4aaYHvyRhKzACeQij","The Meanest of Times","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2007-09-17","https://i.scdn.co/image/ab67616d0000b27330cfe769c53081152ff677d9","1","14","234653","https://p.scdn.co/mp3-preview/27b83668046a1d54981b82cd3ec5ce940c3fdc7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USK250700014","spotify:user:sebastianelisapfeifer","2022-11-14T21:32:31Z"
"spotify:track:4ImIJRZNJhNQLLdUFSYJoS","Down with the Sickness","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:07w0hGS9XUdFsPBvDHy16y","The Sickness (10th Anniversary Edition)","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2010-03-22","https://i.scdn.co/image/ab67616d0000b2732b9a2ff2575349c9fe833af2","1","4","278706","https://p.scdn.co/mp3-preview/03a18da512302b9022ed175701be7a1b3a9a51d4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USRE10902084","spotify:user:sebastianelisapfeifer","2021-07-18T17:01:27Z"
"spotify:track:4V05j7HDUU2bZQwDOeIySh","Last Resort","spotify:artist:4RddZ3iHvSpGV4dvATac9X","Papa Roach","spotify:album:03n4EmWNweUARTWYtmlPqt","To Be Loved: The Best Of Papa Roach (Explicit Version)","spotify:artist:4RddZ3iHvSpGV4dvATac9X","Papa Roach","2010-01-01","https://i.scdn.co/image/ab67616d0000b27320fa6272a47063103db09bb1","1","2","200480","https://p.scdn.co/mp3-preview/fd0f4e93ee380e85cd5ec2b16c1cccfc48081495?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","USDW10021712","spotify:user:sebastianelisapfeifer","2021-07-18T17:01:33Z"
"spotify:track:0tZ3mElWcr74OOhKEiNz1x","Bulls On Parade","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:24E6rDvGDuYFjlGewp4ntF","Evil Empire","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1996-04-16","https://i.scdn.co/image/ab67616d0000b273053f006079bce979e5fef1e1","1","2","229466","https://p.scdn.co/mp3-preview/c1626784be02379a8ec2fa5f7d7f735c1eda772b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSM19502563","spotify:user:sebastianelisapfeifer","2022-10-29T19:48:28Z"
"spotify:track:3BWWSa0UDSVP6Z9uRrT175","Land Of Confusion","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:6uk3P8Y3DuoUlQEiWvhrh8","Ten Thousand Fists","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2005-09-19","https://i.scdn.co/image/ab67616d0000b27385b120e9096febbc11ee0c21","1","11","287066","https://p.scdn.co/mp3-preview/60c7ae0be0a3422986f3a334f8866f9fee2f9d4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USRE10501021","spotify:user:sebastianelisapfeifer","2021-07-18T17:01:38Z"
"spotify:track:3kS2bx6TkbG64bUP68KvbP","Shut Your Mouth","spotify:artist:0hGpZy6ws8FofByMkt0CV1","PAIN","spotify:album:0PWmjgj2rp2UD9P0QIyC4S","Nothing Remains The Same","spotify:artist:0hGpZy6ws8FofByMkt0CV1","PAIN","2002-01-01","https://i.scdn.co/image/ab67616d0000b273528a66faef1f6209cae66ee6","1","2","192986","https://p.scdn.co/mp3-preview/99daa94a981fcc0eebefc0eda490fd14e6f79897?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","SEBKA0106010","spotify:user:sebastianelisapfeifer","2022-11-14T21:33:00Z"
"spotify:track:0mLS3gBv6Wzv0q6zLcmLD8","Red Flag","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","spotify:album:5toyHAFUN46WoyMUYcB5b1","Billy Talent II","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","2006-06-26","https://i.scdn.co/image/ab67616d0000b2737d3f52647c096088e1d8ec67","1","2","196840","https://p.scdn.co/mp3-preview/2a0ce6e4c91d76215e8b68b3e17df5db804e7e93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT20612281","spotify:user:sebastianelisapfeifer","2021-07-18T17:02:07Z"
"spotify:track:5ERnPWGQc5QK7M7HW3rjC6","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:7DBES3oV6jjAmWob7kJg6P","Paranoid (Remastered)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273d07e207ce654bec0813d028d","1","2","168440","https://p.scdn.co/mp3-preview/8b4eb14f1ee6731c90c04cf006b3f18fe0cebaa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","GBAJE7000057","spotify:user:sebastianelisapfeifer","2021-07-18T18:29:51Z"
